symbol	date	price
S&P 500	Jan 2000	1394.46
S&P 500	Feb 2000	1366.42
S&P 500	Mar 2000	1498.58
S&P 500	Apr 2000	1452.43
S&P 500	May 2000	1420.6
S&P 500	Jun 2000	1454.6
S&P 500	Jul 2000	1430.83
S&P 500	Aug 2000	1517.68
S&P 500	Sep 2000	1436.51
S&P 500	Oct 2000	1429.4
S&P 500	Nov 2000	1314.95
S&P 500	Dec 2000	1320.28
S&P 500	Jan 2001	1366.01
S&P 500	Feb 2001	1239.94
S&P 500	Mar 2001	1160.33
S&P 500	Apr 2001	1249.46
S&P 500	May 2001	1255.82
S&P 500	Jun 2001	1224.38
S&P 500	Jul 2001	1211.23
S&P 500	Aug 2001	1133.58
S&P 500	Sep 2001	1040.94
S&P 500	Oct 2001	1059.78
S&P 500	Nov 2001	1139.45
S&P 500	Dec 2001	1148.08
S&P 500	Jan 2002	1130.2
S&P 500	Feb 2002	1106.73
S&P 500	Mar 2002	1147.39
S&P 500	Apr 2002	1076.92
S&P 500	May 2002	1067.14
S&P 500	Jun 2002	989.82
S&P 500	Jul 2002	911.62
S&P 500	Aug 2002	916.07
S&P 500	Sep 2002	815.28
S&P 500	Oct 2002	885.76
S&P 500	Nov 2002	936.31
S&P 500	Dec 2002	879.82
S&P 500	Jan 2003	855.7
S&P 500	Feb 2003	841.15
S&P 500	Mar 2003	848.18
S&P 500	Apr 2003	916.92
S&P 500	May 2003	963.59
S&P 500	Jun 2003	974.5
S&P 500	Jul 2003	990.31
S&P 500	Aug 2003	1008.01
S&P 500	Sep 2003	995.97
S&P 500	Oct 2003	1050.71
S&P 500	Nov 2003	1058.2
S&P 500	Dec 2003	1111.92
S&P 500	Jan 2004	1131.13
S&P 500	Feb 2004	1144.94
S&P 500	Mar 2004	1126.21
S&P 500	Apr 2004	1107.3
S&P 500	May 2004	1120.68
S&P 500	Jun 2004	1140.84
S&P 500	Jul 2004	1101.72
S&P 500	Aug 2004	1104.24
S&P 500	Sep 2004	1114.58
S&P 500	Oct 2004	1130.2
S&P 500	Nov 2004	1173.82
S&P 500	Dec 2004	1211.92
S&P 500	Jan 2005	1181.27
S&P 500	Feb 2005	1203.6
S&P 500	Mar 2005	1180.59
